VIME_HUMAN	Vimentin
C1QBP_HUMAN	Complement component 1 Q subcomponent-binding protein, mitochondrial
DTD1_HUMAN	D-tyrosyl-tRNA(Tyr) deacylase (Fragment)
ODO2_HUMAN	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate
DDB1_HUMAN	DNA damage-binding protein 1
RPN1_HUMAN	Dolichyl- diphosphooligosaccharide-- protein glycosyltransferase
DCTN2_HUMAN	Dynactin subunit 2
EF1A1_HUMAN	Elongation factor 1-alpha 1
ERP29_HUMAN	Endoplasmic reticulum resident protein 29
ECHM_HUMAN	Enoyl-CoA hydratase, mitochondrial
HYEP_HUMAN	Epoxide hydrolase 1
IF4B_HUMAN	Eukaryotic translation initiation factor 4B
IF5A1_HUMAN	Eukaryotic translation initiation factor 5A-1
FLNC_HUMAN	Filamin-C
GSTO1_HUMAN	Glutathione S-transferase omega-1
G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase
HSPB1_HUMAN	Heat shock protein beta-1
HS90A_HUMAN	Heat shock protein HSP 90- alpha
HNRPF_HUMAN	Heterogeneous nuclear ribonucleoprotein F
HYOU1_HUMAN	Hypoxia up-regulated protein 1
ITB1_HUMAN	Integrin beta-1
ILF2_HUMAN	Interleukin enhancer-binding factor 2
ILF3_HUMAN	Interleukin enhancer-binding factor 3
E41L3_HUMAN	Isoform 2 of Band 4.1-like protein 3
GELS_HUMAN	Isoform 2 of Gelsolin
TPM3_HUMAN	Isoform 2 of Tropomyosin alpha-3 chain
VAPA_HUMAN	Isoform 2 of Vesicle- associated membrane protein- associated protein A
NDKB_HUMAN	Isoform 3 of Nucleoside diphosphate kinase B
CD44_HUMAN	Isoform 7 of CD44 antigen
FUMH_HUMAN	Isoform Cytoplasmic of Fumarate hydratase, mitochondrial
LDHA_HUMAN	L-lactate dehydrogenase A
LAP2A_HUMAN	Lamina-associated polypeptide 2, isoforms beta/gamma
LAMC1_HUMAN	Laminin subunit gamma-1
LPPRC_HUMAN	Leucine-rich PPR motif- containing protein, mitochondrial
LIMA1_HUMAN	LIM domain and actin-binding protein 1
LA_HUMAN	Lupus La protein
MRP_HUMAN	MARCKS-related protein
PGRC1_HUMAN	Membrane-associated progesterone receptor component 1
PUR6_HUMAN	Multifunctional protein ADE2 (Fragment)
MCFD2_HUMAN	Multiple coagulation factor deficiency protein 2
MARCS_HUMAN	Myristoylated alanine-rich C- kinase substrate
NRDC_HUMAN	Nardilysin
NACAM_HUMAN	Nascent polypeptide- associated complex subunit
NUCB2_HUMAN	Nucleobindin 2, isoform CRA_b
NPM_HUMAN	Nucleophosmin
PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A
PRDX6_HUMAN	Peroxiredoxin-6
PEBP1_HUMAN	Phosphatidylethanolamine- binding protein 1
PREP_HUMAN	Presequence protease, mitochondrial
PROF1_HUMAN	Profilin-1
PHB2_HUMAN	Prohibitin-2
SAP_HUMAN	Prosaposin
PARK7_HUMAN	Protein deglycase DJ-1
DEK_HUMAN	Protein DEK
LMAN1_HUMAN	Protein ERGIC-53
LZIC_HUMAN	Protein LZIC
S10AA_HUMAN	Protein S100-A10
S10AD_HUMAN	Protein S100-A13
SC61B_HUMAN	Protein transport protein Sec61 subunit beta
KPYM_HUMAN	Pyruvate kinase PKM
GDIB_HUMAN	Rab GDP dissociation inhibitor beta
RCN3_HUMAN	Reticulocalbin-3
RTN3_HUMAN	Reticulon-3
GDIR1_HUMAN	Rho GDP-dissociation inhibitor 1
SKP1_HUMAN	S-phase kinase-associated protein 1
SEPT2_HUMAN	Septin-2
SURF4_HUMAN	Surfeit locus protein 4
TMF1_HUMAN	TATA element modulatory factor
TXND5_HUMAN	Thioredoxin domain- containing protein 5
PRDX3_HUMAN	Thioredoxin-dependent peroxide reductase, mitochondrial
TALDO_HUMAN	Transaldolase
TAGL2_HUMAN	Transgelin-2
TMED9_HUMAN	Transmembrane emp24 domain-containing protein 9
UCHL1_HUMAN	Ubiquitin carboxyl-terminal hydrolase isozyme L1
UBE2N_HUMAN	Ubiquitin-conjugating enzyme E2 N
E9PAM4_HUMAN	Uncharacterized protein
ACADV_HUMAN	Very long-chain specific acyl- CoA dehydrogenase, mitochondrial
VAMP3_HUMAN	Vesicle-associated membrane protein 3
VDAC2_HUMAN	Voltage-dependent anion- selective channel protein 2
XRCC5_HUMAN	X-ray repair cross- complementing protein 5
XRCC6_HUMAN	X-ray repair cross- complementing protein 6
