Pyruvate kinase-M	PKM
60S acidic ribosomal protein P2	RPLP2
60S ribosomal protein L6	RPL6
60S ribosomal protein L10a	RPL10A
60S ribosomal protein L12	RPL12
60S ribosomal protein L13	RPL13
60S ribosomal protein L13a	RPL13A
60S ribosomal protein L22	RPL22
60S ribosomal protein L27	RPL27
60S Ribosomal protein L27a	RPL27A
60S ribosomal protein L30	RPL30
60S ribosomal protein L31	RPL31
60S ribosomal protein L34	RPL34
116 kDa U5 small nuclear ribonucleoprotein component	EFTUD2
Acidic leucine-rich nuclear phosphoprotein 32	ANP32A
Actin related protein 2/3 complex subunit 1A	ARPC1A
Actin related protein 2/3 complex, 1B, 41kDa	ARPC1B
Actin-related protein 2/3 complex subunit 2	ARPC2
Actin-related protein 2/3 complex subunit 4	ARPC4
Actin-related protein 2/3 complex subunit 5	ARPC5
Actin-related protein 3	ACTR3
Adenosylhomocysteinase	AHCY
S-Adenosylmethionine synthase isoform type-2	MAT2A
ADP-ribose pyrophosphatase, mitochondrial	NUDT9
Alpha-actinin-4	ACTN4
Annexin A2	ANXA2
Annexin A2-like protein	ANXA2P2
Arginine--tRNA ligase	RARS
Asparagine synthetase [glutamine-hydrolyzing]	ASNS
Asparagine--tRNA ligase, cytoplasmic	NARS
Aspartate-tRNA ligase, cytoplasmic	DARS
Astrocytic phosphoprotein PEA-15	PEA15
ATP-citrate synthase	ACLY
ATP-dependent 6-phosphofructokinase, platelet type	PFKP
ATP-dependent RNA helicase A	DHX9
Bifunctional glutamate/proline-tRNA ligase	EPRS
Calreticulin	CALR
Casein kinase II subunit alpha	CSNK2A1
Casein kinase II subunit alpha 3	CSNK2A3
Cathepsin Z	CTSZ
Coactosin-like protein	COTL1
Cytosolic acyl coenzyme A thioester hydrolase	ACOT7
Dihydropteridine reductase	QDPR
Dihydropyrimidinase-related protein 2	DPYSL2
DNA damage-binding protein 1	DDB1
DNA topoisomerase 2-alpha	TOP2A
Electron transfer flavoprotein subunit α, mitochondrial	ETFA
Elongin B	ELOB
γ-Enolase	ENO2
Eukaryotic translation initiation factor 3 subunit F
Fascin	FSCN1
Filamin-B	FLNB
Filamin-C	FLNC
Fructose-bisphosphate aldolase A	ALDOA
Fumarate hydratase, mitochondrial	FH
Galectin-1	LGALS1
Glucose-6-phosphate dehydrogenase	G6PDH
Glutamine--tRNA synthetase	QARS
Glutathione S-transferase omega 1	GSTO1
Glycine-tRNA ligase	GARS
Heat shock protein beta-1	HSPB1
Heterogeneous nuclear ribonucleoprotein A/B	HNRNPAB
Heterogeneous nuclear ribonucleoproteins A2/B1	HNRNPA2B1
Heterogeneous nuclear ribonucleoprotein K	HNRPK
Heterogeneous nuclear ribonucleoprotein Q	SYNCRIP
Heterogeneous nuclear ribonucleoprotein R	HNRPR
Heat shock 70 kDa protein 4	HSPA4
Insulin-like growth factor 2 mRNA-binding protein 2	IF2B2
Interleukin enhancer-binding factor 2	ILF2
Interleukin enhancer-binding factor 3	ILF3
Leucine-tRNA ligase, cytoplasmic	LARS
Lysine-tRNA ligase	KARS
Malate dehydrogenase, mitochondrial	MDH2
S-Methyl-5'-thioadenosine phosphorylase	MTAP
Microtubule-associated protein 4, similar	B4DM10_HUMAN
Multifunctional protein ADE2	PAICS
Myosin-9	MYH9
Neutral alpha-glucosidase AB	GANAB
Nicotinamide phosphoribosyltransferase	NAMPT
Nicotinamide N-methyltransferase	NNMT
Nucleosome assembly protein 1-like 1	NAPIL1
Nucleosome assembly protein 1-like 4	NAPIL4
Nucleoside diphosphate kinase (NME1-NME2)
Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1
Peptidyl-prolyl cis-trans isomerase A	PPIA
Phosphatase 2A Inhibitor	I2PP2A
6-Phosphogluconate dehydrogenase, decarboxylating	PGD
Phosphoglycerate mutase 1	PGAM1
Glycogen phosphorylase	PYGB
Phosphoserine aminotransferase	PSAT1
Plastin-3	PLST
Profilin-1	PROF1
Prostaglandin reductase 1	PTGR1
26S protease regulatory subunit 4	PSMC1
Proteasome subunit A2	PSMA2
Proteasome subunit A5	PSMA5
Proteasome subunit B2	PSMB2
Proteasome subunit B3	PSMB3
Proteasome subunit B4	PSMB4
Prothymosin alpha protein	PTMA
Purine nucleoside phosphorylase	PNPH
Isoleucine-tRNA ligase, cytoplasmic	IARS
Ras-related protein Rab 1A	RAB1A
Ras-related protein Rab 1B	RAB1B
Receptor of activated protein C kinase 1	RACK1
Rho GDP-dissociation inhibitor 1	ARHGD1A
Serine/threonine-protein phosphatase PP1-alpha catalytic subunit	PPP1CA
Serine/threonine-protein phosphatase PP1-beta catalytic subunit	PPP1CB
Serine-tRNA ligase, cytoplasmic	SARS
Sialic acid synthetase	NANS
Spectrin beta non-erythrocytic 1	SPTBN1
Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	OXCT1
T-complex protein 1 subunit zeta	CCT6A
T-complex protein 1 subunit alpha	TCP1
T-complex protein 1 subunit epsilon	TPCE
T-complex protein 1 subunit gamma	TPCG
TIP41-like protein	TIPRL
Transaldolase	TALDO
Transforming protein RhoA	RHOA
Tropomyosin 1alpha	TPM1
Tubulin beta-4B chain	TUBB4B
Tubulin beta-7 chain	B4DMJ5_HUMAN
Ubiquitin carboxyl-terminal hydrolase	USP14
Ubiquitin-like modifier-activating enzyme 1	UBA1
UDP-N-acetylhexosamine pyrophosphorylase	UAP1
UTP-glucose-1-phosphate uridylyltransferase 2	UGP2
Vinculin	VINC
X-ray repair cross-complementing protein 5	XRCC5
