No.	Protein ID	Protein name	Gene name	J statistic	p-value	source_file	source_table	source_row
65	Q9Y4X0	AMMECR nuclear protein 1.	AMMECR1	-1.73	0.08	00-data-raw/Zheng et al. - 2024/1-s2.0-S014181302403664X-mm.pdf	Table S1	p3 row 65
66	P25874	Mitochondrial brown fat uncoupling protein 1	UCP1	-1.78	0.08	00-data-raw/Zheng et al. - 2024/1-s2.0-S014181302403664X-mm.pdf	Table S1	p3 row 66
67	P07355	AMMECR nuclear protein 1.	ANXA2	-1.83	0.07	00-data-raw/Zheng et al. - 2024/1-s2.0-S014181302403664X-mm.pdf	Table S1	p3 row 67
68	A6NLP5	Tetratricopeptide repeat domain 36.	TTC36	-1.86	0.06	00-data-raw/Zheng et al. - 2024/1-s2.0-S014181302403664X-mm.pdf	Table S1	p3 row 68
69	O14827	Ras-specific guanine nucleotide-releasing factor 2	RASGRF2	-1.88	0.06	00-data-raw/Zheng et al. - 2024/1-s2.0-S014181302403664X-mm.pdf	Table S1	p3 row 69
70	Q8TED4	Glucose-6-phosphate exchanger SLC37A2	SLC37A2	-1.91	0.06	00-data-raw/Zheng et al. - 2024/1-s2.0-S014181302403664X-mm.pdf	Table S1	p3 row 70
71	O15397	Importin-8	IPO8	-1.94	0.05	00-data-raw/Zheng et al. - 2024/1-s2.0-S014181302403664X-mm.pdf	Table S1	p3 row 71
72	Q9H3R0	Lysine-specific demethylase 4C	KDM4C	-2.02	0.04	00-data-raw/Zheng et al. - 2024/1-s2.0-S014181302403664X-mm.pdf	Table S1	p3 row 72
73	Q8TB72	Pumilio homolog 2	PUM2	-2.15	0.03	00-data-raw/Zheng et al. - 2024/1-s2.0-S014181302403664X-mm.pdf	Table S1	p3 row 73
74	Q8N3X1	Formin binding protein 4.	FNBP4	-2.20	0.03	00-data-raw/Zheng et al. - 2024/1-s2.0-S014181302403664X-mm.pdf	Table S1	p3 row 74
75	Q8N8K9	Uncharacterized protein KIAA1958	KIAA1958	-2.52	0.01	00-data-raw/Zheng et al. - 2024/1-s2.0-S014181302403664X-mm.pdf	Table S1	p3 row 75
76	Q13938	Calcyphosin	CAPS	-2.80	0.01	00-data-raw/Zheng et al. - 2024/1-s2.0-S014181302403664X-mm.pdf	Table S1	p3 row 76
77	O60304	Zinc finger protein 500	ZNF500	-2.87	0.004	00-data-raw/Zheng et al. - 2024/1-s2.0-S014181302403664X-mm.pdf	Table S1	p3 row 77
